Ano,In_Nacional,UCD,PSOE,PCE/IU,AP/PP,CDS,UPyD,Podemos,Cs
06-1977,0.75,0.82,0.9,0.74,0.79,,,,
03-1979,0.76,0.85,0.9,0.78,0.74,,,
10-1982,0.79,0.66,0.91,0.77,0.85,0.77,,,
06-1986,0.78,,0.92,0.77,0.84,0.79,,,
10-1989,0.76,,0.91,0.80,0.82,0.80,,,
06-1993,0.78,,0.92,0.83,0.86,0.73,,,
03-1996,0.80,,0.92,0.83,0.87,,,,
03-2000,0.77,,0.91,0.78,0.89,,,,
03-2004,0.83,,1,0.8,0.92,,,,
03-2008,0.82,,0.94,0.81,0.86,,0.64,,
11-2011,0.78,,0.93,0.86,0.88,,0.72,,
12-2015,0.72,,0.87,0.72,0.86,,,0.67,0.88
06-2016,0.74,,0.89,,0.87,,,0.67,0.88
04-2019,0.74,,0.92,,0.81,,,0.75,0.87
11-2019,0.73,,0.91,,0.83,,,0.75,0.87
